secFromStart,airspeed,altitude,pitch,roll,yaw,velocity_x,velocity_y,velocity_z,voltage
0.0,8,14,24,16,35,36,63,48,36
0.0009999275207519531,6,2,6,24,35,12,42,72,36
0.003017902374267578,3,16,18,4,50,36,42,80,27
0.0050203800201416016,4,16,18,24,50,60,49,48,18
0.006982564926147461,5,14,6,40,5,6,56,72,45
0.00798344612121582,1,2,6,40,30,48,21,64,90
0.009977102279663086,8,6,18,8,5,18,21,72,9
0.01196908950805664,2,2,30,20,15,24,14,24,18
0.013963460922241211,8,12,27,24,35,48,49,72,54
0.015957117080688477,2,6,6,20,25,30,21,48,54
0.017956256866455078,10,16,6,8,25,60,70,64,27
0.01994633674621582,7,2,12,16,50,24,14,24,54
0.021941423416137695,7,12,18,20,30,6,49,48,72
0.02294301986694336,6,18,6,16,35,36,42,16,81
0.02494955062866211,9,4,24,28,10,54,70,32,45
0.02704000473022461,2,16,21,8,40,42,14,48,9
0.029040098190307617,10,6,12,8,40,60,35,72,36
0.030040502548217773,8,8,9,8,25,30,7,64,54
0.03203082084655762,7,16,27,16,20,18,56,56,63
0.0340266227722168,4,6,30,40,40,48,70,24,72
0.036020517349243164,8,14,30,8,40,18,70,16,27
0.03801369667053223,9,10,6,24,50,60,28,48,36
0.040010690689086914,1,4,18,4,30,36,21,80,27
0.04188895225524902,6,18,27,20,25,36,28,40,63
0.0429384708404541,2,2,30,16,10,24,49,48,90
0.04491281509399414,10,8,24,40,30,24,70,48,9
0.0468745231628418,1,12,15,4,45,18,70,16,63
0.04787588119506836,5,2,12,40,5,30,49,8,36
0.049871206283569336,7,6,27,24,50,54,14,64,45
0.051963090896606445,1,18,24,8,10,60,21,72,90
0.05386090278625488,1,20,9,36,5,54,28,64,81
0.054863691329956055,6,10,21,36,45,42,7,80,9
0.055957794189453125,5,20,12,8,30,24,14,32,63
0.05785036087036133,5,20,24,20,40,24,21,80,72
0.05894637107849121,5,16,3,36,5,48,70,24,81
0.06094789505004883,5,8,12,24,35,24,49,16,45
0.06294083595275879,5,20,30,16,50,42,42,32,54
0.06486082077026367,3,4,30,4,25,60,70,48,9
0.06586289405822754,6,14,30,4,5,6,21,24,81
0.06792783737182617,4,18,21,4,25,6,35,24,81
0.06996893882751465,9,4,12,4,40,18,42,48,81
0.07108497619628906,8,18,18,20,30,54,14,32,36
0.07307791709899902,8,20,30,12,20,12,28,24,81
0.0750741958618164,8,12,24,12,20,54,21,64,36
0.07696080207824707,5,16,30,12,5,18,7,16,36
0.07806229591369629,7,4,30,32,50,24,7,72,81
0.0800628662109375,8,8,12,36,25,6,35,72,45
0.08205556869506836,5,4,30,16,15,60,28,48,81
0.08404874801635742,10,4,15,24,45,12,70,40,90
0.0859377384185791,10,16,30,32,15,12,28,24,54
0.08693814277648926,4,8,6,12,35,24,7,64,18
0.0889277458190918,1,6,12,36,15,42,42,64,45
0.08995914459228516,2,12,15,24,40,30,56,56,90
0.09198379516601562,5,4,30,32,5,54,70,48,27
0.0939171314239502,7,4,24,16,40,42,56,80,45
0.09494543075561523,1,10,24,24,30,6,35,8,36
0.09690499305725098,5,8,12,40,25,6,28,80,45
0.09889936447143555,2,8,15,40,45,60,63,56,27
0.10089111328125,1,20,21,4,15,54,49,56,18
0.10288572311401367,8,4,6,36,50,12,21,72,9
0.10488104820251465,4,2,6,8,25,54,49,80,63
0.10687613487243652,6,6,30,4,30,6,7,72,54
0.10897207260131836,3,18,15,40,5,60,7,64,27
0.10997438430786133,8,4,30,24,5,18,21,72,90
0.11197090148925781,6,10,30,40,30,54,70,40,90
0.11396384239196777,1,18,15,20,30,54,7,8,72
0.11596155166625977,1,12,12,12,25,42,42,56,18
0.11794734001159668,2,20,21,36,40,42,56,56,54
0.11895084381103516,2,10,9,36,10,12,49,72,27
0.1208810806274414,8,16,18,16,45,12,7,72,54
0.12189054489135742,8,12,24,32,40,12,56,48,63
0.12294220924377441,9,6,18,8,20,24,49,64,63
0.12483620643615723,1,18,27,8,45,30,56,56,9
0.1259288787841797,1,16,24,28,35,42,14,64,72
0.1279282569885254,4,12,30,20,20,54,7,48,54
0.12991619110107422,6,18,15,40,15,36,35,16,18
0.13191485404968262,8,16,24,4,15,18,7,40,27
0.13390707969665527,3,2,3,32,45,42,49,48,45
0.13590216636657715,5,20,15,36,45,60,63,24,18
0.13779449462890625,5,12,30,20,25,36,35,16,54
0.13890361785888672,5,4,21,4,30,18,14,56,54
0.14089679718017578,6,18,24,12,30,30,35,8,36
0.1428980827331543,2,16,21,40,30,24,70,48,54
0.14488577842712402,3,20,18,8,45,12,42,72,63
0.14678096771240234,6,8,27,20,10,12,35,24,81
0.14787840843200684,3,14,27,24,15,42,21,80,18
0.14976096153259277,4,4,9,4,45,24,21,40,45
0.1508021354675293,1,18,18,8,10,30,21,32,18
0.1518692970275879,2,10,27,4,15,24,7,64,9
0.15386199951171875,7,6,21,28,45,30,42,16,9
0.1558535099029541,4,20,24,36,15,36,49,8,72
0.1578505039215088,6,14,21,16,5,60,21,56,63
0.15885186195373535,1,12,9,8,45,6,21,16,18
0.1608428955078125,7,14,3,28,5,42,7,8,27
0.16272807121276855,6,2,9,32,40,60,70,16,81
0.16475415229797363,10,16,24,24,35,24,35,32,9
0.1667187213897705,5,4,12,36,25,24,14,24,72
0.16772747039794922,3,16,3,32,5,12,42,48,45
0.16975069046020508,4,20,24,8,35,54,56,80,18
0.17174291610717773,7,2,12,8,5,30,14,64,81
0.172743558883667,6,4,3,36,35,6,49,64,9
0.17475390434265137,2,12,21,20,20,36,56,64,63
0.17668986320495605,4,20,18,40,30,24,56,80,36
0.17772364616394043,6,6,21,24,10,48,49,32,90
0.17968463897705078,8,4,12,32,10,12,56,80,63
0.18167805671691895,6,2,18,20,30,36,14,40,27
0.18373370170593262,4,10,6,20,40,18,14,72,63
0.1857280731201172,3,6,15,28,50,12,56,32,18
0.18765950202941895,1,16,15,20,30,6,7,24,45
0.18965387344360352,2,14,27,12,50,48,14,24,72
0.19164824485778809,5,14,6,20,35,48,42,16,81
0.19364619255065918,4,4,3,8,30,24,7,24,18
0.19564175605773926,8,12,12,36,30,18,21,32,9
0.1976320743560791,6,16,21,20,35,6,56,40,72
0.1987450122833252,2,8,30,16,25,30,63,32,54
0.2006244659423828,2,8,12,20,35,30,35,64,81
0.20164752006530762,9,10,3,32,45,54,21,64,18
0.20364141464233398,9,20,27,28,35,6,28,80,27
0.20473742485046387,3,20,21,20,20,42,35,32,72
0.20574021339416504,4,2,27,4,10,30,70,56,72
0.20772886276245117,4,8,30,12,15,6,49,40,81
0.20972394943237305,4,14,27,12,25,60,14,40,36
0.2116537094116211,7,10,30,36,30,18,42,80,72
0.21370697021484375,8,20,30,32,40,12,14,80,90
0.21471309661865234,1,6,9,28,10,36,49,40,45
0.2165822982788086,2,20,24,8,5,18,56,32,54
0.21770191192626953,1,6,21,20,25,30,35,64,27
0.21969223022460938,6,8,24,12,30,12,28,8,63
0.22069478034973145,8,14,9,28,50,30,28,72,72
0.2226884365081787,6,14,27,28,25,48,70,16,63
0.22467994689941406,1,4,15,8,40,60,21,8,36
0.22655630111694336,6,12,21,20,45,18,35,32,72
0.22768807411193848,10,14,12,12,30,60,28,32,81
0.22966432571411133,9,14,24,20,5,12,49,72,54
0.23166298866271973,5,8,6,8,30,12,35,40,27
0.23365402221679688,5,16,30,24,5,36,7,72,81
0.23564934730529785,10,4,21,40,45,60,7,64,54
0.2376384735107422,3,18,6,20,25,24,63,64,9
0.23864293098449707,4,14,24,8,25,18,56,56,27
0.24063539505004883,7,8,3,16,45,60,63,48,9
0.24251413345336914,3,8,12,4,40,36,49,64,54
0.2435142993927002,8,2,30,28,30,42,42,72,54
0.2455732822418213,6,6,3,28,40,60,42,40,45
0.2476363182067871,9,10,24,8,50,30,35,40,90
0.24961066246032715,4,2,3,12,10,48,7,72,27
0.2506129741668701,4,16,9,36,40,60,28,16,90
0.2526102066040039,7,16,21,20,35,48,42,32,9
0.25459861755371094,8,20,9,32,50,42,14,72,27
0.25647568702697754,8,20,24,16,5,42,21,80,72
0.25758790969848633,4,10,6,28,25,18,42,80,18
0.25860166549682617,5,20,18,40,25,12,21,72,9
0.2605874538421631,10,12,21,28,25,36,35,24,72
0.26257777214050293,1,2,3,36,25,60,63,72,63
0.26358509063720703,10,12,18,36,30,6,56,16,36
0.2654857635498047,1,2,15,8,15,12,63,80,45
0.2675614356994629,9,20,15,20,5,12,56,64,27
0.26955389976501465,8,12,12,12,30,48,35,56,36
0.2715494632720947,9,4,15,20,30,36,56,32,90
0.2725543975830078,2,8,27,40,10,6,56,72,81
0.27454400062561035,6,10,30,12,10,18,28,56,27
0.2755465507507324,5,16,24,32,15,54,63,16,90
0.27753138542175293,7,10,27,40,5,48,49,64,72
0.27854061126708984,7,12,21,32,5,30,21,24,45
0.2805180549621582,7,12,9,20,30,42,14,72,54
0.2825136184692383,4,4,27,12,25,30,21,64,72
0.28450727462768555,1,10,12,40,35,54,63,8,72
0.28650474548339844,2,2,30,36,5,12,28,56,72
0.288393497467041,2,18,15,4,30,36,21,48,9
0.28948330879211426,7,20,30,16,20,18,7,8,9
0.29049158096313477,5,8,18,8,20,18,56,16,45
0.29149651527404785,7,4,24,36,20,18,56,8,72
0.2934856414794922,3,14,21,8,50,12,7,40,18
0.2954823970794678,2,10,18,8,50,54,28,72,54
0.2973790168762207,9,20,12,20,20,54,56,32,45
0.29846835136413574,6,8,15,16,25,6,21,64,9
0.30046892166137695,9,12,30,16,30,24,7,48,54
0.3024611473083496,3,12,9,12,30,36,14,16,72
0.3043506145477295,3,16,30,20,45,54,63,48,45
0.30539917945861816,1,18,12,40,20,42,70,16,81
0.3074491024017334,1,20,3,4,10,24,35,8,81
0.30944085121154785,6,8,15,20,10,60,21,40,54
0.31143903732299805,4,14,9,16,40,36,35,24,72
0.313431978225708,5,20,30,12,25,24,56,64,90
0.3154182434082031,2,10,9,4,20,24,7,72,18
0.3164234161376953,8,14,21,40,30,12,42,40,63
0.3184192180633545,7,12,15,8,25,18,63,48,54
0.32030820846557617,4,4,12,16,5,6,49,72,90
0.321413516998291,2,14,9,8,45,12,49,80,36
0.3234078884124756,7,18,27,16,10,6,7,64,72
0.32534360885620117,10,6,24,40,45,12,70,32,9
0.3273916244506836,7,6,24,8,20,54,42,16,72
0.3293900489807129,7,16,30,32,30,54,70,24,81
0.3313755989074707,6,10,30,24,5,54,21,48,63
0.3323781490325928,4,20,15,12,45,30,28,24,27
0.33437490463256836,8,10,27,4,5,24,56,8,90
0.33626866340637207,3,12,9,40,25,24,42,16,54
0.33826255798339844,9,12,27,32,10,36,49,8,27
0.3402571678161621,9,8,24,32,5,42,63,8,63
0.3413560390472412,9,10,9,32,10,12,49,40,54
0.3433535099029541,1,16,27,4,40,60,49,80,81
0.34534716606140137,4,14,24,40,20,12,49,80,90
0.3463592529296875,10,2,9,12,35,42,42,24,63
0.3483409881591797,7,2,24,8,50,18,35,40,90
0.35033202171325684,10,8,27,4,30,48,49,40,63
0.3513321876525879,7,18,30,4,10,36,63,64,72
0.35332512855529785,9,14,27,4,50,12,63,56,81
0.35532331466674805,6,6,15,36,45,60,7,72,18
0.3572094440460205,7,12,30,36,40,24,49,48,36
0.35831212997436523,9,18,3,4,20,54,14,16,45
0.3603060245513916,8,4,24,36,10,18,14,80,54
0.36230039596557617,3,20,3,28,40,24,28,8,63
0.3642902374267578,10,14,3,12,30,54,35,24,9
0.36618995666503906,3,18,9,8,50,12,56,16,18
0.368180513381958,9,18,30,20,25,12,7,40,45
0.37017083168029785,3,16,30,32,10,36,63,32,9
0.3721659183502197,4,12,30,12,35,60,49,80,90
0.37323927879333496,2,12,9,8,35,6,28,24,54
0.37479567527770996,7,12,3,40,35,54,7,8,81
0.3758673667907715,10,14,12,28,20,48,14,16,72
0.3779106140136719,3,8,3,24,10,6,35,8,18
0.37891221046447754,1,16,30,32,10,30,70,40,54
0.3809058666229248,6,2,15,8,15,54,35,32,36
0.3828999996185303,3,18,18,12,10,18,42,72,63
0.38489651679992676,10,18,9,20,10,54,42,56,90
0.3867683410644531,9,20,3,40,40,60,35,72,9
0.38788557052612305,3,14,9,16,50,36,42,8,9
0.3898763656616211,9,6,30,12,10,12,7,72,18
0.39087700843811035,2,8,6,8,30,30,56,48,36
0.39287543296813965,2,18,6,24,50,54,14,32,54
0.3938770294189453,4,12,15,20,20,36,63,40,45
0.3958616256713867,5,12,21,36,20,12,49,8,72
0.3977370262145996,9,4,12,36,20,24,35,64,18
0.39879441261291504,10,6,9,8,40,24,42,24,9
0.4007890224456787,1,18,27,28,25,54,42,24,72
0.4028205871582031,5,14,24,16,15,48,35,80,54
0.40389037132263184,3,2,18,36,50,30,63,56,72
0.40597033500671387,7,4,9,36,40,60,7,40,45
0.40709567070007324,9,4,21,40,5,6,35,56,63
0.4090912342071533,4,8,15,8,50,12,14,80,27
0.41108202934265137,8,4,15,12,10,54,35,8,63
0.4129767417907715,1,18,24,24,15,48,28,16,36
0.4149963855743408,6,18,12,12,10,42,42,40,81
0.4169445037841797,3,2,27,32,35,30,35,40,45
0.41893863677978516,9,2,9,24,5,36,70,16,27
0.4199404716491699,1,18,30,32,50,30,28,64,36
0.4219343662261963,8,6,27,36,10,60,49,8,18
0.42392992973327637,10,10,21,4,50,24,63,72,81
